ต้ง	ຕົ້ງ
ตะเยี้ยด	ຕະຢ໊ຽດ
หฒะเก้ง	ຕສະເກ້ງ
กิเลอาด	ກິເລອາດ
ปั์วเดี๊ย	ປົ໌ວເດ໊ຍ
บาซาน	ບາຊານ
เฑ่า	ເດສົ້າ
เญี้ยม	ຍ້ຽມ
มู้ง	ມູ້ງ
ล์าง	ລ໌າງ
เฒย	ເຕສີຍ
ม์า	ມ໌າ
ม์าเธีย	ມ໌າເທສຍ
โด๊ะ	ໂດ໊ະ
ก๋อโย์ว	ກໍ໋ໂຢ໌ວ
โยซูวา	ໂຢຊູວາ
ฒัวะ	ຕສົ໊ວະ
มน่อม	ມນ່ອມ
โท้	ໂທ້
ธ้าง	ທສ້າງ
หว่าน	ຫວ່ານ
ม์วน	ມ໌ວນ
ฮี่ง	ຮີ່ງ
ฟีลิสะเตีย	ຟິລິສະເຕຍ
ปู้ง	ປູ້ງ
มะนัดเส	ມະນັດເສ
มาคี	ມາຄີ
เหฒ่ง	ເຕສ່ງ
นอมๆ	ນອມໆ
โฮ์	ໂຮ໌
เอฟาอิม	ເອຟາອິມ
เตา	ເຕົາ
หม่าย	ໝ່າຍ
แซ้ง	ແຊ້ງ
ตะเฝย	ຕະເຝີຍ
โบอาด	ໂບອາດ
เอลีฮู	ເອລີຮູ
ธิน	ທສິນ
ด่ง	ດົ່ງ
อัมโมน	ອຳມົນ
นาหาด	ນາຫາດ
ดาวิด	ດາວິດ
จุนแปง	ຈຸນແປງ
ฒง	ຕສົງ
ตะฟาม	ຕະຟາມ
นาทัน	ນາທັນ
เอน	ເອນ
จ่ม	ຈົ່ມ
ซาโลมอน	ຊາໂລມອນ
เยลูซาเลม	ເຢລູຊາເລມ
สาโดก	ສາດົກ
อาซาลิยา	ອາຊາລິຢາ
ไทละ	ໄທລະ
เสียน	ສຽນ
เยี้ยด	ຢ໊ຽດ
แปงกวั้น	ແປງກວັ້ນ
สะมาเลีย	ສະມາເລຍ
อาหับ	ອາຫັບ
ฉง	ຖຈົງ
อามาซิยา	ອາມາຊິຢາ
อาหัด	ອາຫັດ
เอลา	ເອລາ
โฮเซยา	ໂຮເຊຢາ
เฮเซคียา	ເຮເຊຄີຢາ
เป๊ด	ເປ໊ດ
เดียโธว	ເດຍໂທສວ
เยเลมี	ເຢເລມີ
เยโฮยาคิม	ເຢໂຮຢາຄິມ
บาบีโลน	ບາບີລົນ
เนบูคัดเน้ดซา	ເນບູຄັດເນດຊາ
ดานีเอน	ດານີເອນ
ฟีเนหัด	ຟີເນຫັດ
อาบีชูวา	ອາບີທຈູວາ
บุกคี	ບຸກຄີ
อุดซี	ອຸດຊີ
เสลาหิยา	ເສລາຫິຢາ
อามาลิยา	ອາມາລິຢາ
อาหิทู้บ	ອາຫິທູບ
กว๊าด	ກວ໊າດ
ตาน	ຕານ
ฮาดัดเอเซ	ຮາດັດເອເຊ
ฌังหล่าง	ອຈັງຫລ່າງ
อาสา	ອາສາ
หฒวด	ຕສວດ
โยอาหาด	ໂຢອາຫາດ
เอสะลา	ເອສະລາ
ป๊วนมู้ง	ປ໊ວນມູ້ງ
เสลุบบาเบน	ເສລຸບບາເບນ
เยซูอา	ເຢຊູອາ
เสไลอา	ເສໄລອາ
โมเดไค	ໂມເດໄຄ
มิดปา	ມິດປາ
เลฮูม	ເລຮູມ
ฮินคียา	ຮິນຄີຢາ
ซันลูม	ຊັນລູມ
ฮามาน	ຮາມານ
เอเซเท	ເອເຊເທ
ทิ้ว	ທິ້ວ
เทมาน	ເທມານ
เอลีฟัด	ເອລີຟັດ
โย้บ	ໂຢ໊ບ
ไกว	ໄກວ
ตั๊ง	ຕັ໊ງ
คู้	ຄູ້
มุน	ມຸນ
เตี๊ย	ເຕ໊ຍ
ฌิ้ม	ອຈິ໊ມ
ฆวิน	ອກວິນ
เฒว่ย	ເຕສວີ້ຍ
เหญี่ยม	ຫຍ່ຽມ
เยซู	ເຢຊູ
กีตู่	ກີຕູ່
ไซก๋อ	ໄຊກໍ໋
เปาโล	ເປົາໂລ
เหลี่ยว	ຫລ່ຽວ
เล่ง	ເລ່ງ
โกเม	ໂກເມ
อัดเคนัด	ອັດເຄນັດ
ลีฟ้าด	ລີຟາດ
โทกานมา	ໂທການມາ
ไจ่	ໄຈ່
ฟางต้าว	ຟາງຕ້າວ
เคลูบิม	ເຄລູບິມ
ฟางหฆาย	ຟາງອກ໋າຍ
อิม	ອິມ
โต๊	ໂຕ໊
อัดโมน	ອັດມົນ
หธัม	ຖສຳ
สาโฟน	ສາຟົນ
เย้บทา	ເຢ໊ບທາ
โอฟา	ໂອຟາ
ลูเท	ລູເທ
เบนเดเค	ເບນເດເຄ
มาค้าด	ມາຄາດ
ซาอันบิม	ຊາອັນບິມ
เบดเซเม้ด	ເບດເຊເມດ
เอโลนเบดฮานัน	ເອລົນເບດຮານັນ
ชอง	ທຈອງ
ฟง	ຟົງ
ม่วน	ມ່ວນ
ม่าะ	ມ່າະ
อาดัม	ອາດຳ
เสด	ເສດ
เอโน้ด	ເອນົດ
เคนัน	ເຄນັນ
มาหะลาเลน	ມາຫະລາເລນ
ยาเล้ด	ຢາເລດ
เอโน้ก	ເອນົກ
เมทูเสลา	ເມທູເສລາ
ลาเม้ก	ລາເມກ
อิบฮา	ອິບຮາ
เอลีซูวา	ເອລີຊູວາ
เอนเพเล้ด	ເອນເພເລດ
โนกา	ໂນກາ
เนเฟ้ก	ເນເຟກ
ยาเฟีย	ຢາເຟຍ
เลฟาอิม	ເລຟາອິມ
กวั้นๆ	ກວັ້ນໆ
โคลา	ໂຄລາ
โคเล	ໂຄເລ
เมเซเลมิยา	ເມເຊເລມິຢາ
เสบาดิยา	ເສບາດິຢາ
ย้าดนีเอน	ຢ໊າດນີເອນ
เอลีโฮไน	ເອລີໂຮໄນ
สับดีเอน	ສັບດີເອນ
ยาโซเบอัม	ຢາໂຊເບອຳ
อาโหไฮ	ອາໂຫໄຮ
โดได	ໂດໄດ
มิกโล้ด	ມິກໂລດ
ปาด	ປາດ
จ้อย	ຈ້ອຍ
ตะลัน	ຕະລັນ
กีโล	ກີໂລ
เนโค	ເນໂຄ
หมิ่วเปย๊า	ໝິ່ວເປຢົ໊າ
เยโฮยาคีน	ເຢໂຮຢາຄີນ
ปาหัดโมอับ	ປາຫັດໂມອັບ
เฒ้ยฟุน	ເຕສີ໊ຍຟຸນ
มาลาโย้ด	ມາລາຢົ໊ດ
โทบีอา	ໂທບີອາ
อาหลับ	ອາຫລັບ
เกเซม	ເກເຊມ
ฆวะ	ອກວ໊ະ
ดิบ	ດິບ
ไม้	ໄມ້
แก้ง	ແກ້ງ
เมเลโม้ด	ເມເລມົດ
ซ้าย	ຊ້າຍ
หฮยาม	ຫຮຢາມ
สุสา	ສຸສາ
เฮยห่อง	ເຮີຍຫ່ອງ
ปู๋งซีง	ປູ໋ງຊີງ
ปู๋งเฉีย	ປູ໋ງເຖຈຍ
เบี้ยวๆ	ບ້ຽວໆ
ซ้ายดุย	ຊ້າຍດຸຍ
ฮลุด	ຮລຸດ
ปั์วโด๊ะแฑง	ປົ໌ວໂດ໊ະແດສງ
เหฒาเฮลน	ເຕສົ໋າເຮລນ
เจียมปย๊า	ຈຽມປຢ໊າ
กะน้ายหฮงง	ກະນ້າຍຫຮງົງ
อ้า	ອ້າ
เหมย	ເໝີຍ
ปู๊	ປູ໊
ล่ง	ລົ່ງ
โขว	ໂຂວ
ก๊า	ກ໊າ
แฒะเฒี้ยว	ແຕສ໊ະຕສ໊ຽວ
โบ๊ว	ໂບ໊ວ
หฮวาญิ์น	ຫຮວາຍິ໌ນ
เป๊ว	ເປ໊ວ
เดาฆาย	ເດົາອກາຍ
ท้อง	ທ້ອງ
เต่ยปูงฮ์าน	ເຕີ່ຍປູງຮ໌ານ
ฌิบ	ອຈິ໊ບ
ฮว่วนๆ	ຮວ່ວນໆ
ฮนอยๆ	ຮນອຍໆ
เหฒียม	ຕູ໋ງ
ฑั่ง	ດສັ້ງ
มฌ่อม	ມອຈ້ອມ
สันโมน	ສັນມົນ
ลาหับ	ລາຫັບ
เดบี	ເດບີ
ลิสะตา	ລິສະຕາ
ฟีนีเซีย	ຟີນີເຊຍ
เธงโฮล	ເທສງໂຮລ
ซ่าะ	ຊ່າະ
อาคายา	ອາຄາຢາ
เป้ย	ເປີ້ຍ
ยากอบ	ຢາກອບ
ยิวดา	ຢິວດາ
เยซู	yesu
เย	ເຢ
ซู	ຊູ
โย	ໂຢ
อี	ອີ
ยิบ	ຢິ໊ບ
ฮิบ	ຮິບ
ลู	ລູ
เอ	ເອ
โค	ໂຄ
โท	ໂທ
โน	ໂນ
ยา	ຢາ
อับ	ອັບ
ลาม	ລາມ
กา	ກາ
ลา	ລາ
คา	ຄາ
นา	ນາ
อัน	ອັນ
โม	ໂມ
เล	ເລ
อัม	ອຳ
เอน	ເອນ
สา	ສາ
อา	ອາ
ลี	ລີ
เค	ເຄ
โด	ໂດ
โอ	ໂອ
เม	ເມ
ฮัม	ຮຳ
ทู	ທູ
ซาน	ຊານ
มี	ມີ
บา	ບາ
เด	ເດ
อัด	ອັດ
ฟา	ຟາ
บี	ບີ
ดา	ດາ
เก	ເກ
โค้บ	ໂຄບ
มา	ມາ
หะ	ຫະ
อิม	ອິມ
เส	ເສ
ยิว	ຢິວ
ไท	ໄທ
ดี	ດີ
เบด	ເບດ
เซ้บ	ເຊບ
ยู	ຢູ
ชู	ທຈູ
ไน	ໄນ
อิ	ອິ
สะ	ສະ
เบน	ເບນ
วี	ວີ
บู	ບູ
ไซ	ໄຊ
เซ	ເຊ
โลน	ລົນ
ฟี	ຟີ
ฮู	ຮູ
เบ	ເບ
ซา	ຊາ
เลน	ເລນ
ไล	ໄລ
ซี	ຊີ
จอ	ຈໍ
แดน	ແດນ
กิ	ກິ
อาด	ອາດ
วา	ວາ
ลิ	ລິ
เตีย	ເຕຍ
ทา	ທາ
โล้ด	ໂລດ
มะ	ມະ
นัด	ນັດ
คี	ຄີ
มิ	ມິ
โล	ໂລ
หัด	ຫັດ
ฮา	ຮາ
ละ	ລະ
กาน	ການ
โบ	ໂບ
สัน	ສັນ
เดีย	ເດຍ
มิด	ມິດ
โมน	ມົນ
หาด	ຫາດ
วิด	ວິດ
หิ	ຫິ
ซิ	ຊິ
เฮ	ເຮ
นี	ນີ
ทัน	ທັນ
เน	ເນ
เท	ເທ
มอน	ມອນ
เลม	ເລມ
โดก	ດົກ
โฮ	ໂຮ
ฟัด	ຟັດ
โห	ໂຫ
เลีย	ເລຍ
หับ	ຫັບ
มาน	ມານ
คิม	ຄິມ
คัด	ຄັດ
เน้ด	ເນດ
โซ	ໂຊ
อุด	ອຸດ
บุก	ບຸກ
โย้ด	ຢົ໊ດ
ทู้บ	ທູບ
นัน	ນັນ
อิบ	ອິບ
โม้ด	ມົດ
เม้ด	ເມດ
เล้ด	ເລດ
ดัด	ດັດ
ลุบ	ລຸບ
ไค	ໄຄ
ปา	ປາ
ฮูม	ຮູມ
ฮิน	ຮິນ
ซัน	ຊັນ
ลูม	ລູມ
สุ	ສຸ
มิก	ມິກ
เซีย	ເຊຍ
กี	ກີ
ตู่	ຕູ່
สับ	ສັບ
เปา	ເປົາ
ตา	ຕາ
ดิ	ດິ
โก	ໂກ
ฟ้าด	ຟາດ
บิม	ບິມ
โฟน	ຟົນ
เย้บ	ເຢ໊ບ
ค้าด	ຄາດ
ดัม	ດຳ
โน้ด	ນົດ
โน้ก	ນົກ
เม้ก	ເມກ
เพ	ເພ
เฟ้ก	ເຟກ
เฟีย	ເຟຍ
ย้าด	ຢ໊າດ
ไฮ	ໄຮ
ได	ໄດ
คีน	ຄີນ
หลับ	ຫລັບ
เซม	ເຊມ
กอบ	ກອບ
ทิน	ທິນ
ฮู่ง	ຮູ່ງ
เจ๊า	ເຈົ໊າ
โหล่ว	ໂຫລ່ວ
เดา	ເດົາ
เดี๊ย	ເດ໊ຍ
ตอน	ຕອນ
ฟุน	ຟຸນ
เป้ย	ເປີ້ຍ
เฒ้ย	ເຕສີ໊ຍ
เต่ย	ເຕີ່ຍ
ปูง	ປູງ
กง	ກົງ
โฒ่	ໂຕສ້
หฮญัง	ຫຮຍັງ
เจ๊ย	ເຈີ໊ຍ
ด๊บ	ດົ໊ບ
ลิ่ว	ລິ່ວ
จา	ຈາ
ตี้ง	ຕີ້ງ
ววม	ວວມ
ฮวาง	ຮວາງ
ฟิน	ຟິນ
เมี่ยน	ມ່ຽນ
หมิ่ว	ໝິ່ວ
ลุย	ລຸຍ
โหว	ໂຫວ
โฮล	ໂຮລ
แปง	ແປງ
เปย๊ย	ເປຢີ໊ຍ
โย์ว	ໂຢ໌ວ
เหมว่ย	ເໝວີ່ຍ
วิน	ວິນ
วั้ง	ວັ້ງ
เฮลน	ເຮລນ
ปั์ว	ປົ໌ວ
เจียม	ຈຽມ
เก๊าะ	ເກ໊າະ
ปย๊า	ປຢ໊າ
โด๊ะ	ໂດ໊ະ
ม์า	ມ໌າ
เธีย	ເທສຍ
ก๋อ	ກໍ໋
ต้าว	ຕ້າວ
กะน้าย	ກະນ້າຍ
จุน	ຈຸນ
ฆาย	ອກາຍ
เฒี้ยว	ຕສ໊ຽວ
เหฒา	ເຕສົ໋າ
กวั้น	ກວັ້ນ
โธว	ໂທສວ
ป๊วน	ປ໊ວນ
ฌัง	ອຈັງ
หล่าง	ຫລ່າງ
มู้ง	ມູ້ງ
เปย๊า	ເປຢົ໊າ
แฑง	ແດສງ
ฟาง	ຟາງ
หฆาย	ອກ໋າຍ
เฮย	ເຮີຍ
ห่อง	ຫ່ອງ
ปู๋ง	ປູ໋ງ
ซีง	ຊີງ
เฉีย	ເຖຈຍ
ซ้าย	ຊ້າຍ
ดุย	ດຸຍ
หฮงง	ຫຮງົງ
แฒะ	ແຕສ໊ະ
หฮวา	ຫຮວາ
ญิ์น	ຍິ໌ນ
ฮ์าน	ຮ໌ານ
เธง	ເທສງ
เยซู	yesu
อียิบ	ອີຢິ໊ບ
ฮิบลู	ຮິບລູ
โนยา	ໂນຢາ
คานาอัน	ຄານາອັນ
เอลาม	ເອລາມ
อับลาฮัม	ອັບລາຮຳ
ยาโค้บ	ຢາໂຄບ
เลอา	ເລອາ
ยิวไท	ຢິວໄທ
ดีนา	ດີນາ
โยเซ้บ	ໂຢເຊບ
ยูดา	ຢູດາ
อิสะลาเอน	ອິສະລາເອນ
เลวี	ເລວີ
โมเซ	ໂມເຊ
อาโลน	ອາລົນ
เอเลอาซา	ເອເລອາຊາ
โมอับ	ໂມອັບ
จอแดน	ຈໍແດນ
กิเลอาด	ກິເລອາດ
บาซาน	ບາຊານ
โยซูวา	ໂຢຊູວາ
ฟีลิสะเตีย	ຟິລິສະເຕຍ
มะนัดเส	ມະນັດເສ
มาคี	ມາຄີ
เอฟาอิม	ເອຟາອິມ
โบอาด	ໂບອາດ
เอลีฮู	ເອລີຮູ
อัมโมน	ອຳມົນ
นาหาด	ນາຫາດ
ดาวิด	ດາວິດ
นาทัน	ນາທັນ
ซาโลมอน	ຊາໂລມອນ
เยลูซาเลม	ເຢລູຊາເລມ
สาโดก	ສາດົກ
อาซาลิยา	ອາຊາລິຢາ
ไทละ	ໄທລະ
สะมาเลีย	ສະມາເລຍ
อาหับ	ອາຫັບ
อามาซิยา	ອາມາຊິຢາ
อาหัด	ອາຫັດ
เอลา	ເອລາ
โฮเซยา	ໂຮເຊຢາ
เฮเซคียา	ເຮເຊຄີຢາ
เยเลมี	ເຢເລມີ
เยโฮยาคิม	ເຢໂຮຢາຄິມ
บาบีโลน	ບາບີລົນ
เนบูคัดเน้ดซา	ເນບູຄັດເນດຊາ
ดานีเอน	ດານີເອນ
ฟีเนหัด	ຟີເນຫັດ
อาบีชูวา	ອາບີທຈູວາ
บุกคี	ບຸກຄີ
อุดซี	ອຸດຊີ
เสลาหิยา	ເສລາຫິຢາ
อามาลิยา	ອາມາລິຢາ
อาหิทู้บ	ອາຫິທູບ
ฮาดัดเอเซ	ຮາດັດເອເຊ
อาสา	ອາສາ
โยอาหาด	ໂຢອາຫາດ
เอสะลา	ເອສະລາ
เสลุบบาเบน	ເສລຸບບາເບນ
เยซูอา	ເຢຊູອາ
เสไลอา	ເສໄລອາ
โมเดไค	ໂມເດໄຄ
มิดปา	ມິດປາ
เลฮูม	ເລຮູມ
ฮินคียา	ຮິນຄີຢາ
ซันลูม	ຊັນລູມ
ฮามาน	ຮາມານ
เอเซเท	ເອເຊເທ
เทมาน	ເທມານ
เอลีฟัด	ເອລີຟັດ
เยซู	ເຢຊູ
กีตู่	ກີຕູ່
เปาโล	ເປົາໂລ
โกเม	ໂກເມ
อัดเคนัด	ອັດເຄນັດ
ลีฟ้าด	ລີຟາດ
โทกานมา	ໂທການມາ
เคลูบิม	ເຄລູບິມ
อัดโมน	ອັດມົນ
สาโฟน	ສາຟົນ
เย้บทา	ເຢ໊ບທາ
โอฟา	ໂອຟາ
ลูเท	ລູເທ
เบนเดเค	ເບນເດເຄ
มาค้าด	ມາຄາດ
ซาอันบิม	ຊາອັນບິມ
เบดเซเม้ด	ເບດເຊເມດ
เอโลนเบดฮานัน	ເອລົນເບດຮານັນ
อาดัม	ອາດຳ
เอโน้ด	ເອນົດ
เคนัน	ເຄນັນ
มาหะลาเลน	ມາຫະລາເລນ
ยาเล้ด	ຢາເລດ
เอโน้ก	ເອນົກ
เมทูเสลา	ເມທູເສລາ
ลาเม้ก	ລາເມກ
อิบฮา	ອິບຮາ
เอลีซูวา	ເອລີຊູວາ
เอนเพเล้ด	ເອນເພເລດ
โนกา	ໂນກາ
เนเฟ้ก	ເນເຟກ
ยาเฟีย	ຢາເຟຍ
